1(ŠARU)	1(A)
1(šaru@c)	1(a@a)
1(ŠARU@c)	1(A@a)
1(ŠARU@v)	1(A@a)
1(šarʾu)	1(a)
1(šarʾu@c)	1(a@a)
1(šarʾu)@v	1(a)@a
1(šu)	1(a)
1(šu@c)	1(a@a)
1(u)	1(a)
1(u@c)	1(a@a)
2/3(diš)	1/1(a)
2/3(diš@c)	1/1(a@a)
2/3(diš@c)@v	1/1(a@a)@a
2(aš)	1(a)
2(AŠ)	1(A)
2(aš@c)	1(a@a)
2(AŠ@c)	1(A@a)
2(|AŠ×DIŠ@t|)	1(|A@a|)
2(aš@t)	1(a@a)
2(AŠ@t)	1(A@a)
2(aš@t@c)	1(a@a@a)
2(AŠ@t@c)	1(A@a@a)
2(ban₂)	1(a)
2(BAN₂)	1(A)
2(ban₂@c)	1(a@a)
2(BAN₂@c)	1(A@a)
2(barig)	1(a)
2(bariga)	1(a)
2(bariga@c)	1(a@a)
2(barig@c)	1(a@a)
2(bur₃)	1(a)
2(bur₃@c)	1(a@a)
2(BURU)	1(A)
2(BURU@c)	1(A@a)
2(burʾu)	1(a)
2(burʾu@c)	1(a@a)
2(diš)	1(a)
2(DIŠ)	1(A)
2(diš@c)	1(a@a)
2(DIŠ@c)	1(A@a)
2(diš@t)	1(a@a)
2(DIŠ@t)	1(A@a)
2(diš@t@c)	1(a@a@a)
2(eše₃)	1(a)
2(EŠE₃)	1(A)
2(eše₃@c)	1(a@a)
2(EŠE₃@c)	1(A@a)
2(geš₂)	1(a)
2(GEŠ₂)	1(A)
2(geš₂@c)	1(a@a)
2(GEŠ₂@c)	1(A@a)
2(gešu)	1(a)
2(GEŠU)	1(A)
2(gešu@c)	1(a@a)
2(GEŠU@c)	1(A@a)
2(gešʾu)	1(a)
2(gešʾu@c)	1(a@a)
2(iku)	1(a)
2(iku@c)	1(a@a)
2(N01)	1(A1)
2(N01@f)	1(A1@a)
2(N04)	1(A1)
2(N04@f)	1(A1@a)
2(N14)	1(A1)
2(N14@f)	1(A1@a)
2(N19)	1(A1)
2(N19@f)	1(A1@a)
2(N22)	1(A1)
2(N22@f)	1(A1@a)
2(N34)	1(A1)
2(N34@f)	1(A1@a)
2(N36)	1(A1)
2(N45)	1(A1)
2(N45@f)	1(A1@a)
2(N46@f)	1(A1@a)
2(N50)	1(A1)
2(N51)	1(A1)
2(N51@f)	1(A1@a)
2(N57)	1(A1)
2(ŋeš₂)	1(a)
2(šar₂)	1(a)
2(ŠAR₂)	1(A)
2(šar₂@c)	1(a@a)
2(ŠAR₂@c)	1(A@a)
2(šaru)	1(a)
2(ŠARU)	1(A)
2(šaru@c)	1(a@a)
2(ŠARU@c)	1(A@a)
2(šarʾu)	1(a)
2(šarʾu@c)	1(a@a)
2(u)	1(a)
2(u@c)	1(a@a)
2(U@c)	1(A@a)
|3×AN|	|1A|
|3×AN.BAR|	|1A.A|
3(aš)	1(a)
3(AŠ)	1(A)
3(AŠ~a)	1(A~a)
3(AŠ~b)	1(A~a)
3(aš@c)	1(a@a)
3(AŠ@c)	1(A@a)
3(aš@c)@v	1(a@a)@a
3(AŠ@c)@v	1(A@a)@a
3(|AŠ×DIŠ@t|)	1(|A@a|)
3(aš@t)	1(a@a)
3(AŠ@t)	1(A@a)
3(aš@t@c)	1(a@a@a)
3(AŠ@t@c)	1(A@a@a)
3(aš)@v	1(a)@a
3(aš@v)	1(a@a)
3(aš@v@c)	1(a@a@a)
3(ban₂)	1(a)
3(BAN₂)	1(A)
3(ban₂@c)	1(a@a)
3(BAN₂@c)	1(A@a)
3(ban₂@c)@v	1(a@a)@a
3(BAN₂@c)@v	1(A@a)@a
3(barig)	1(a)
3(bariga)	1(a)
3(bariga@c)	1(a@a)
3(barig@c)	1(a@a)
3(bur₃)	1(a)
3(bur₃@c)	1(a@a)
3(BURU)	1(A)
3(BURU@c)	1(A@a)
3(BURU@c)@v	1(A@a)@a
3(BURU@v)	1(A@a)
3(burʾu)	1(a)
3(burʾu@c)	1(a@a)
3(burʾu@c)@v	1(a@a)@a
3(burʾu)@v	1(a)@a
3(diš)	1(a)
3(DIŠ)	1(A)
3(diš@c)	1(a@a)
3(DIŠ@c)	1(A@a)
3(diš@c)@v	1(a@a)@a
3(DIŠ@c)@v	1(A@a)@a
3(diš@t)	1(a@a)
3(DIŠ@t)	1(A@a)
3(diš@t@c)	1(a@a@a)
3(geš₂)	1(a)
3(GEŠ₂)	1(A)
3(geš₂@c)	1(a@a)
3(GEŠ₂@c)	1(A@a)
3(geš₂@c)@v	1(a@a)@a
3(GEŠ₂@c)@v	1(A@a)@a
3(gešu)	1(a)
3(GEŠU)	1(A)
3(gešu@c)	1(a@a)
3(GEŠU@c)	1(A@a)
3(gešu@c)@v	1(a@a)@a
3(GEŠU@c)@v	1(A@a)@a
3(gešʾu)	1(a)
3(gešʾu@c)	1(a@a)
3(gešʾu@c)@v	1(a@a)@a
3(iku)	1(a)
3(iku@c)	1(a@a)
3(iku)@v	1(a)@a
|3×LU₂|	|1A|
3(N01)	1(A1)
3(N01@f)	1(A1@a)
3(N04)	1(A1)
3(N04@f)	1(A1@a)
3(N14)	1(A1)
3(N14@f)	1(A1@a)
3(N19)	1(A1)
3(N19@f)	1(A1@a)
3(N34)	1(A1)
3(N34@f)	1(A1@a)
3(N51@f)	1(A1@a)
3(N57)	1(A1)
3(ŋeš₂)	1(a)
3(šar₂)	1(a)
3(ŠAR₂)	1(A)
3(šar₂@c)	1(a@a)
3(ŠAR₂@c)	1(A@a)
3(šar₂@c)@v	1(a@a)@a
3(ŠAR₂@c)@v	1(A@a)@a
3(šar₂)@v	1(a)@a
3(ŠAR₂)@v	1(A)@a
3(šaru)	1(a)
3(ŠARU)	1(A)
3(šaru@c)	1(a@a)
3(ŠARU@c)	1(A@a)
3(šaru@c)@v	1(a@a)@a
3(ŠARU@c)@v	1(A@a)@a
3(šaru)@v	1(a)@a
3(ŠARU@v)	1(A@a)
3(šarʾu)	1(a)
3(šarʾu@c)	1(a@a)
3(šarʾu@c)@v	1(a@a)@a
3(šarʾu)@v	1(a)@a
3(u)	1(a)
3(u@c)	1(a@a)
3(U@c)	1(A@a)
3(u@c)@v	1(a@a)@a
3(U@c)@v	1(A@a)@a
|4×(AN.NAGA)|	|1(A.A)|
|4×(AN.ŠE.NAGA)|	|1(A.A.A)|
4(aš)	1(a)
4(AŠ)	1(A)
4(AŠ~a)	1(A~a)
4(aš@c)	1(a@a)
4(AŠ@c)	1(A@a)
4(AŠ@c)@v	1(A@a)@a
4(|AŠ×DIŠ@t|)	1(|A@a|)
4(aš@t)	1(a@a)
4(AŠ@t)	1(A@a)
4(aš@t@c)	1(a@a@a)
4(AŠ@t@c)	1(A@a@a)
4(aš@v)	1(a@a)
4(aš@v@c)	1(a@a@a)
4(ban₂)	1(a)
4(BAN₂)	1(A)
4(ban₂@c)	1(a@a)
4(BAN₂@c)	1(A@a)
4(ban₂@c)@v	1(a@a)@a
4(BAN₂@c)@v	1(A@a)@a
4(ban₂@v)	1(a@a)
4(BAN₂@v)	1(A@a)
4(ban₂)@v	1(a)@a
4(ban₂@v@c)	1(a@a@a)
4(barig)	1(a)
4(bariga)	1(a)
4(bariga@c)	1(a@a)
4(barig@c)	1(a@a)
4(bur₃)	1(a)
4(bur₃@c)	1(a@a)
4(BURU)	1(A)
4(BURU@c)	1(A@a)
4(burʾu)	1(a)
4(burʾu@c)	1(a@a)
4(diš)	1(a)
4(DIŠ)	1(A)
4(diš@c)	1(a@a)
4(DIŠ@c)	1(A@a)
4(diš@c)@v	1(a@a)@a
4(diš@c)@v~b	1(a@a)@a~a
4(diš@t)	1(a@a)
4(DIŠ@t)	1(A@a)
4(diš@t@c)	1(a@a@a)
4(diš)@v	1(a)@a
4(diš@v)	1(a@a)
4(diš)@v~b	1(a)@a~a
4(diš@v@c)	1(a@a@a)
|4×EN|	|1A|
|4×(EZEN×KASKAL)|	|1(A)|
|4×GABA|	|1A|
4(geš₂)	1(a)
4(GEŠ₂)	1(A)
4(geš₂@c)	1(a@a)
4(GEŠ₂@c)	1(A@a)
4(geš₂@c)@v	1(a@a)@a
4(GEŠ₂@c)@v	1(A@a)@a
4(gešu)	1(a)
4(GEŠU)	1(A)
4(gešu@c)	1(a@a)
4(GEŠU@c)	1(A@a)
4(gešu@c)@v	1(a@a)@a
4(GEŠU@c)@v	1(A@a)@a
4(gešʾu)	1(a)
4(gešʾu@c)	1(a@a)
4(gešʾu@c)@v	1(a@a)@a
|4×IDIM|	|1A|
|4×(IDIM&IDIM)|	|1(A&A)|
4(iku)	1(a)
4(iku@c)	1(a@a)
|4×IM|	|1A|
|4×LAGAB|	|1A|
|4×LU₂|	|1A|
|4×(LUGAL.X)|	|1(A.A)|
4(N01)	1(A1)
4(N01@f)	1(A1@a)
4(N04)	1(A1)
4(N04@f)	1(A1@a)
4(N14)	1(A1)
4(N14@f)	1(A1@a)
4(N19)	1(A1)
4(N19@f)	1(A1@a)
4(N34)	1(A1)
4(N34@f)	1(A1@a)
4(N36)	1(A1)
4(N45)	1(A1)
4(N50)	1(A1)
4(N51)	1(A1)
4(N51@f)	1(A1@a)
|4×NI|	|1A|
4(ŋeš₂)	1(a)
4(šar₂)	1(a)
4(ŠAR₂)	1(A)
4(šar₂@c)	1(a@a)
4(ŠAR₂@c)	1(A@a)
4(šaru)	1(a)
4(ŠARU)	1(A)
4(šaru@c)	1(a@a)
4(ŠARU@c)	1(A@a)
4(šarʾu)	1(a)
4(šarʾu@c)	1(a@a)
|4×TAB|	|1A|
|4×(TAR.LIMMU₂)|	|1(A.A)|
4(u)	1(a)
4(U)	1(A)
4(u@c)	1(a@a)
4(U@c)	1(A@a)
4(u@c)@v	1(a@a)@a
4(U@c)@v	1(A@a)@a
4(u)@v	1(a)@a
4(U)@v	1(A)@a
|(4×ZA)×KUR|	|(1A)A|
5/6(diš)	1/1(a)
5/6(diš@c)	1/1(a@a)
5/6(DIŠ@c)	1/1(A@a)
5(aš)	1(a)
5(AŠ)	1(A)
5(aš@c)	1(a@a)
5(AŠ@c)	1(A@a)
5(|AŠ×DIŠ@t|)	1(|A@a|)
5(aš@t)	1(a@a)
5(AŠ@t)	1(A@a)
5(aš@t@c)	1(a@a@a)
5(AŠ@t@c)	1(A@a@a)
5(ban₂)	1(a)
5(BAN₂)	1(A)
5(ban₂@c)	1(a@a)
5(BAN₂@c)	1(A@a)
5(ban₂@c)@v	1(a@a)@a
5(BAN₂@c)@v	1(A@a)@a
5(ban₂@v)	1(a@a)
5(BAN₂@v)	1(A@a)
5(ban₂)@v	1(a)@a
5(ban₂@v@c)	1(a@a@a)
5(bur₃)	1(a)
5(bur₃@c)	1(a@a)
5(BURU)	1(A)
5(BURU@c)	1(A@a)
5(burʾu)	1(a)
5(burʾu@c)	1(a@a)
5(diš)	1(a)
5(DIŠ)	1(A)
5(diš@c)	1(a@a)
5(DIŠ@c)	1(A@a)
5(diš@t)	1(a@a)
5(DIŠ@t)	1(A@a)
5(diš@t@c)	1(a@a@a)
5(geš₂)	1(a)
5(GEŠ₂)	1(A)
5(geš₂@c)	1(a@a)
5(GEŠ₂@c)	1(A@a)
5(gešu)	1(a)
5(GEŠU)	1(A)
5(gešu@c)	1(a@a)
5(GEŠU@c)	1(A@a)
5(gešʾu)	1(a)
5(gešʾu@c)	1(a@a)
5(iku)	1(a)
5(iku@c)	1(a@a)
5(N01)	1(A1)
5(N01@f)	1(A1@a)
5(N04@f)	1(A1@a)
5(N14)	1(A1)
5(N14@f)	1(A1@a)
5(N19)	1(A1)
5(N19@f)	1(A1@a)
5(N34@f)	1(A1@a)
5(N45)	1(A1)
5(N50)	1(A1)
5(N51)	1(A1)
5(N51@f)	1(A1@a)
5(ŋeš₂)	1(a)
5(šar₂)	1(a)
5(ŠAR₂)	1(A)
5(šar₂@c)	1(a@a)
5(ŠAR₂@c)	1(A@a)
5(šaru)	1(a)
5(ŠARU)	1(A)
5(šaru@c)	1(a@a)
5(ŠARU@c)	1(A@a)
5(šarʾu)	1(a)
5(šarʾu@c)	1(a@a)
5(u)	1(a)
5(U)	1(A)
5(u@c)	1(a@a)
5(U@c)	1(A@a)
5(u)@v	1(a)@a
5(U)@v	1(A)@a
6(aš)	1(a)
6(AŠ)	1(A)
6(AŠ~a)	1(A~a)
6(aš@c)	1(a@a)
6(AŠ@c)	1(A@a)
6(AŠ@c)@v	1(A@a)@a
6(|AŠ×DIŠ@t|)	1(|A@a|)
6(aš@t)	1(a@a)
6(AŠ@t)	1(A@a)
6(aš@t@c)	1(a@a@a)
6(AŠ@t@c)	1(A@a@a)
6(aš@v)	1(a@a)
6(aš@v@c)	1(a@a@a)
6(bur₃)	1(a)
6(diš)	1(a)
6(DIŠ)	1(A)
6(diš@c)	1(a@a)
6(DIŠ@c)	1(A@a)
6(diš@t)	1(a@a)
6(DIŠ@t)	1(A@a)
6(diš@t@c)	1(a@a@a)
6(geš₂)	1(a)
6(GEŠ₂)	1(A)
6(geš₂@c)	1(a@a)
6(GEŠ₂@c)	1(A@a)
6(N01)	1(A1)
6(N01@f)	1(A1@a)
6(N14)	1(A1)
6(N14@f)	1(A1@a)
6(N19)	1(A1)
6(N19@f)	1(A1@a)
6(N34@f)	1(A1@a)
6(ŋeš₂)	1(a)
6(šar₂)	1(a)
6(ŠAR₂)	1(A)
6(šar₂@c)	1(a@a)
6(ŠAR₂@c)	1(A@a)
6(|ŠAR₂×KASKAL|)	1(|A|)
6(šarʾu)@v	1(a)@a
6(u)	1(a)
6(U)	1(A)
6(u@c)	1(a@a)
6(U@c)	1(A@a)
7(aš)	1(a)
7(AŠ)	1(A)
7(AŠ~a)	1(A~a)
7(aš@c)	1(a@a)
7(AŠ@c)	1(A@a)
7(AŠ@c)@l	1(A@a)@a
7(AŠ@c)@v	1(A@a)@a
7(|AŠ×DIŠ@t|)	1(|A@a|)
7(aš@v)	1(a@a)
7(aš@v@c)	1(a@a@a)
7(bur₃)	1(a)
7(diš)	1(a)
7(DIŠ)	1(A)
7(DIŠ)~a	1(A)~a
7(DIŠ)~b	1(A)~a
7(diš@c)	1(a@a)
7(DIŠ@c)	1(A@a)
7(diš@c)@v	1(a@a)@a
7(DIŠ@c)@v	1(A@a)@a
7(diš@c)@v~b	1(a@a)@a~a
7(DIŠ@c)@v~b	1(A@a)@a~a
7(diš)@v	1(a)@a
7(diš)@v~b	1(a)@a~a
7(geš₂)	1(a)
7(GEŠ₂)	1(A)
7(geš₂@c)	1(a@a)
7(GEŠ₂@c)	1(A@a)
7(N01)	1(A1)
7(N01@f)	1(A1@a)
7(N14)	1(A1)
7(N14@f)	1(A1@a)
7(N19@f)	1(A1@a)
7(ŋeš₂)	1(a)
7(šar₂)	1(a)
7(ŠAR₂)	1(A)
7(šar₂@c)	1(a@a)
7(ŠAR₂@c)	1(A@a)
7(u)	1(a)
7(U)	1(A)
7(u@c)	1(a@a)
7(U@c)	1(A@a)
8(aš)	1(a)
8(AŠ)	1(A)
8(aš@c)	1(a@a)
8(AŠ@c)	1(A@a)
8(|AŠ×DIŠ@t|)	1(|A@a|)
8(aš@v)	1(a@a)
8(aš@v@c)	1(a@a@a)
8(bur₃)	1(a)
8(diš)	1(a)
8(DIŠ)	1(A)
8(diš@c)	1(a@a)
8(DIŠ@c)	1(A@a)
8(diš)@v	1(a)@a
8(geš₂)	1(a)
8(GEŠ₂)	1(A)
8(geš₂@c)	1(a@a)
8(GEŠ₂@c)	1(A@a)
8(N01)	1(A1)
8(N01@f)	1(A1@a)
8(N14)	1(A1)
8(N14@f)	1(A1@a)
8(N19)	1(A1)
8(N34@f)	1(A1@a)
8(N51@f)	1(A1@a)
8(ŋeš₂)	1(a)
8(šar₂)	1(a)
8(ŠAR₂)	1(A)
8(šar₂@c)	1(a@a)
8(ŠAR₂@c)	1(A@a)
8(u)	1(a)
8(U)	1(A)
8(u@c)	1(a@a)
8(U@c)	1(A@a)
9(aš)	1(a)
9(AŠ)	1(A)
9(aš@c)	1(a@a)
9(AŠ@c)	1(A@a)
9(aš@c@90)	1(a@a@1)
9(AŠ@c@90)	1(A@a@1)
9(|AŠ×DIŠ@t|)	1(|A@a|)
9(aš@v)	1(a@a)
9(aš@v@c)	1(a@a@a)
9(bur₃)	1(a)
9(diš)	1(a)
9(DIŠ)	1(A)
9(DIŠ~a)	1(A~a)
9(DIŠ~b)	1(A~a)
9(diš@c)	1(a@a)
9(DIŠ@c)	1(A@a)
9(DIŠ~c)	1(A~a)
9(diš@c)~d	1(a@a)~a
9(DIŠ@c)~d	1(A@a)~a
9(diš@c)@v	1(a@a)@a
9(DIŠ@c)@v	1(A@a)@a
9(diš@c)@v~a	1(a@a)@a~a
9(DIŠ@c)@v~a	1(A@a)@a~a
9(diš)~d	1(a)~a
9(diš)@v	1(a)@a
9(diš@v)	1(a@a)
9(diš)@v~a	1(a)@a~a
9(diš@v@c)	1(a@a@a)
9(DIŠ@v@c)	1(A@a@a)
9(geš₂)	1(a)
9(GEŠ₂)	1(A)
9(geš₂@c)	1(a@a)
9(GEŠ₂@c)	1(A@a)
9(N01)	1(A1)
9(N01@f)	1(A1@a)
9(N14)	1(A1)
9(N14@f)	1(A1@a)
9(N34@f)	1(A1@a)
9(N51@f)	1(A1@a)
9(ŋeš₂)	1(a)
9(šar₂)	1(a)
9(ŠAR₂)	1(A)
9(šar₂@c)	1(a@a)
9(ŠAR₂@c)	1(A@a)
9(u)	1(a)
9(U)	1(A)
9(u@c)	1(a@a)
9(U@c)	1(A@a)
a	a
A	A
a₁₂	a
a₁₃	a
a₁₄	a
a₂	a
a₂⁻	a
A₂	A
|A₂.AŠ|	|A.A|
|A₂.GA₂×SAL|	|A.A|
|A₂.KAL|	|A.A|
|A₂.MUŠ₃|	|A.A|
|A₂.MUŠ₃@g|	|A.A@a|
|A₂.PA|	|A.A|
|A₂.SAL|	|A.A|
|A₂.TUR|	|A.A|
|A₂.UD.DU|	|A.A.A|
|A₂.U.KID|	|A.A.A|
|A₂.ZA.AN.MUŠ₃|	|A.A.A.A|
|A₂.ZA.MUŠ₃|	|A.A.A|
|A₂.ZA.MUŠ₃@g|	|A.A.A@a|
a₃	a
a₄	a
a₅	a
a₆	a
a₇	a
a₈	a
a₉	a
|A.A|	|A.A|
|A×A|	|A|
|A.A.A|	|A.A.A|
|A.AB.BA|	|A.A.A|
|A.AN|	|A.A|
|A×AN|	|A|
ab	a
AB	A
ab₂	a
AB₂	A
|AB₂×AMAR@t|	|A@a|
|AB₂.AN.ŠEŠ.KI|	|A.A.A.A|
|AB₂×BALAG|	|A|
|AB₂×DUB₂|	|A|
|AB₂×GAN₂|	|A|
|AB₂×GAN₂@t|	|A@a|
|AB₂×GUD|	|A|
|AB₂.KU|	|A.A|
|AB₂×KU|	|A|
|AB₂.LU|	|A.A|
|AB₂×(ME.EN)|	|A(A.A)|
|AB₂×MU|	|A|
|AB₂.NUN.ME.DU|	|A.A.A.A|
|AB₂.ŠA₃|	|A.A|
|AB₂×ŠA₃|	|A|
|(AB₂.ŠA₃)&(AB₂.ŠA₃)|	|(A.A)&(A.A)|
|AB₂.ŠA₃.GI|	|A.A.A|
|AB₂×ŠE|	|A|
AB₂@t	A@a
|AB₂×TAB|	|A|
|AB₂.TAK₄|	|A.A|
|AB₂×TAK₄|	|A|
|AB₂.TUG₂|	|A.A|
ab₃	a
ab₄	a
aba	a
|AB×A|	|A|
aba₃	a
aba₄	a
|A.BAD|	|A.A|
|A×BAD|	|A|
aban	a
|A.BARAG|	|A.A|
|A.BAR.BAHAR₂|	|A.A.A|
|AB×AŠ₂|	|A|
abba	a
abba₂	a
abbar	a
abbaraₓ	a
abbarₓ	a
abbununna	a
abbununnaₓ	a
abbununnu	a
abbununnuₓ	a
|AB×DIŠ|	|A|
|AB×DUN₃@g|	|A@a|
AB@g	A@a
abgal	a
|AB×GAL|	|A|
|AB×GAN₂@t|	|A@a|
|AB@g.MUŠ₃|	|A@a.A|
|AB@g.MUŠ₃.ZA|	|A@a.A.A|
|AB×HA|	|A|
|AB.HA@g|	|A.A@a|
|AB×HA.TAG|	|A.A|
|AB.HA.ZAG.GABA.HU|	|A.A.A.A.A|
|A.BI|	|A.A|
|AB×IGI@g|	|A@a|
|AB×IMIN|	|A|
|AB.KID|	|A.A|
|AB.KID.KID|	|A.A.A|
|AB×LAGAB|	|A|
|AB×LAK178|	|A1|
ablal	a
ablal₃	a
ablalₓ	a
|AB.MUŠ₃|	|A.A|
|AB.NAM|	|A.A|
abni₂	a
abnu	a
|AB×NUN|	|A|
|AB×NUN@t|	|A@a|
abrig	a
abrig₂	a
|AB.ŠEŠ|	|A.A|
|AB×ŠEŠ|	|A|
absin	a
absin₂	a
absin₃	a
abšin₃	a
absu	a
|AB×ŠU₂|	|A|
|A.BU|	|A.A|
|AB×U|	|A|
|A.BU.DU|	|A.A.A|
|A.BU.HA.DU|	|A.A.A.A|
|A.BU.HA.NI.DU|	|A.A.A.A.A|
abul	a
abula	a
abulla	a
|AB×(U.U.U)|	|A(A.A.A)|
|AB×(U.U.U).KUG.LAM.SAL|	|A(A.A.A).A.A.A|
abₓ	a
|AB×X|	|A|
abzu	a
abzu₂	a
/ad/	/a/
ad	a
AD	A
ad₂	a
ad₃	a
ad₄	a
ad₅	a
ad₆	a
ad₇	a
ad₈	a
ada	a
adab	a
adaba	a
ADAB~a	A~a
adabₓ	a
adad	a
adama	a
adamen	a
adamen₂	a
adamen₃	a
adamen₄	a
adamen₅	a
adamenₓ	a
adamin	a
adamin₂	a
adamin₃	a
adamin₄	a
adamin₅	a
adaminₓ	a
adamu	a
adaₓ	a
adda	a
adda₂	a
adda₃	a
adda₄	a
addaₓ	a
addir	a
addir₃	a
addirₓ	a
addu₂	a
addu₃	a
addu₄	a
|AD.E₂|	|A.A|
|AD×EŠ₂|	|A|
adgub	a
|AD.KID|	|A.A|
adkin	a
adkinₓ	a
|AD.KU|	|A.A|
|A.DU|	|A.A|
|A.DU&A.DU|	|A.A&A.A|
adₓ	a
|A.EDIN|	|A.A|
|A.EDIN.A.LAL|	|A.A.A.A|
|A.EDIN.LAL|	|A.A.A|
|A.EDIN.NA|	|A.A.A|
ag	a
A@g	A@a
ag₂	a
ag₃	a
aga	a
aga₂	a
aga₃	a
|A.GABA.LIŠ.TU|	|A.A.A.A|
agal	a
agam	a
aganₓ	a
agar₂	a
agar₃	a
|A.GAR₃|	|A.A|
agar₄	a
agar₅	a
agar₆	a
agargara	a
agargaraₓ	a
agarim	a
agarin	a
agarin₂	a
agarin₃	a
agarin₄	a
agarin₅	a
agarinx	a
agarinₓ	a
agaš	a
agaₓ	a
|A.GISAL.GADA.GAR.A.SI|	|A.A.A.A.A.A|
|A.GISAL.GAD.GAR.A.SI|	|A.A.A.A.A.A|
|A.GISAL.PAD.SI.A|	|A.A.A.A.A|
|A.GISAL.SI|	|A.A.A|
|A.GISAL.SI.ELLES214|	|A.A.A.A1|
|A.GIŠ.TU.GABA.LIŠ|	|A.A.A.A.A|
agrig	a
agrigₓ	a
agrun	a
agrunaₓ	a
agruₓ	a
agu	a
|A.GU|	|A.A|
agu₂	a
|A.GUD×KUR|	|A.A|
agₓ	a
ah	a
ah₂	a
ah₃	a
ah₄	a
ah₅	a
ah₆	a
aha	a
|A.HA|	|A.A|
|A×HA|	|A|
aha₂	a
aha₃	a
|A.HA.A|	|A.A.A|
|A.HA.BU.DU|	|A.A.A.A|
|A.HA.BU.LAGAB|	|A.A.A.A|
|A.HA.BU.TAR.DU|	|A.A.A.A.A|
|A.HA.DU|	|A.A.A|
|A.HA.MUŠ.DU|	|A.A.A.A|
|A.HA.TAR.DU|	|A.A.A.A|
|A.HA.TAR.UD.DU|	|A.A.A.A.A|
ahi	a
ahi₂	a
ahud	a
|A.HU.SI|	|A.A.A|
ai	a
aia	a
aia₂	a
aia₃	a
aia₄	a
|A.IGI|	|A.A|
|A×IGI|	|A|
ak	a
AK	A
ak₃	a
aka	a
|A.KA|	|A.A|
aka₂	a
aka₃	a
aka₄	a
|A.KAL|	|A.A|
akan	a
akan₂	a
akan₃	a
akani	a
akar	a
akarₓ	a
akaₓ	a
|AK×ERIN₂|	|A|
akiₓ	a
akkan₃	a
akkil	a
akkil₂	a
akkil₃	a
akkilₓ	a
akraₓ	a
akšak	a
akšak₂	a
akšakₓ	a
|AK×ŠITA₂|	|A|
|AK×(ŠITA.GIŠ)|	|A(A.A)|
aktum	a
aktum₂	a
|A.KU|	|A.A|
|A×KU₃|	|A|
|A.KUŠU₂|	|A.A|
akₓ	a
al	a
AL	A
al₂	a
al₅	a
al₆	a
al₈	a
al₉	a
ala	a
ala₃	a
alad	a
alag	a
|A.LAGAB×A|	|A.A|
|A.LAGAB×HAL|	|A.A|
|A.LAGAB×HAL.DI|	|A.A.A|
|A.LAGAB×HAL.GAL|	|A.A.A|
|A.LAGAB×HAL.PAP.NA₂|	|A.A.A.A|
|A.LAGAB×HAL.ŠU₂|	|A.A.A|
